ibge_code,municipality,uf,bioma,is_canavieiro,is_treated_ever,treatment_year,log_pib_total,log_pib_per_capita,log_population_2017,log_total_area_ha,population_density,share_vabc_agriculture,share_vabc_industry,share_vabc_services,share_vabc_public_admin,mb_share_sugarcane_baseline,mb_share_soybean_baseline,mb_share_pasture_baseline,mb_share_native_veg_baseline,mb_share_urban_baseline,mb_share_silviculture_baseline,mb_share_agriculture_total_baseline,log_sugarcane_area_ha,log_soybean_area_ha,log_maize_area_ha,log_cotton_area_ha,log_agriculture_total_area_ha,share_sugarcane_of_agriculture,share_family_farms,share_medium_large_farms,share_family_farms_area,share_medium_large_farms_area,tractors_per_farm,share_irrigated_farms,share_irrigated_area,share_financed_farms,share_tech_assistance,share_natural_vegetation_area,pct_farms_with_energy,hdim_education,hdim_income,hdim_longevity,social_vulnerability_infrastructure,social_vulnerability_human_capital,social_vulnerability_income_work,gini_index
1100015,,,,False,False,,13.092677067033968,9.856500761311791,10.14399939801143,8.864400458005857,3.595564382186853,0.36854615653700495,0.05940697318190805,0.23543125568985485,0.3366134418543006,0.0,0.0,0.29,0.7,0.0,0.0,0.0,3.4657359027997265,6.111467339502679,8.784009071186633,0.0,9.813891018724371,0.0016953787257314738,0.7817047817047817,0.22072072072072071,0.22216469123746466,0.7025454330831182,0.17914067914067913,0.19369369369369369,0.008898821181179677,0.24878724878724878,0.17706167706167705,0.42527086528471775,0.9,0.526,0.657,0.763,0.306,0.45,0.373,0.58
1100023,,,,False,False,,14.643149732123856,9.96716632919931,11.583812541317878,8.387517214259846,24.44715206449703,0.08033669866675225,0.1586933889991865,0.4524007844178401,0.3085696141658121,0.0,0.0,0.59,0.37,0.01,0.0,0.01,2.3978952727983707,8.10832229017324,6.883462586413092,0.0,8.918784137975802,0.0013386880856760374,0.7913251366120219,0.20833333333333334,0.3234287492221531,0.6199709204920779,0.1711065573770492,0.029030054644808744,0.0008077641089464363,0.13900273224043716,0.11236338797814208,0.2479218383474914,0.95,0.6,0.716,0.806,0.149,0.384,0.271,0.53
1100031,,,,False,False,,11.835812988651076,10.007442080255977,8.736328721332908,7.177522840523615,4.7560099643910565,0.47450251097374585,0.035921606420864796,0.16470030191918203,0.3248831098428665,0.0,0.13,0.49,0.33,0.0,0.0,0.04,0.0,9.966931725092662,9.742496866444002,0.0,10.623398370365289,0.0,0.7804651162790698,0.22232558139534883,0.34506786930185257,0.4040854224698236,0.2297674418604651,0.030697674418604652,0.017641597028783658,0.2474418604651163,0.2855813953488372,0.23581373313160026,0.82,0.559,0.65,0.757,0.128,0.389,0.383,0.51
1100049,,,,False,False,,14.549205455433809,10.06615897040696,11.390848222390822,8.241682084692146,23.322494281829393,0.13587026004244548,0.1195600756859035,0.4668373434929726,0.2777323207786784,0.0,0.0,0.58,0.4,0.01,0.0,0.0,3.044522437723423,6.3473892096560105,7.668561108015897,0.0,9.808132371719273,0.0011001100110011,0.8817514420555846,0.11955951756685894,0.5647093364650616,0.4203306382402096,0.12191924488725747,0.23597273203985317,0.018036044988481863,0.13398007341373885,0.09910854745673833,0.33320860518798817,0.94,0.62,0.727,0.821,0.111,0.329,0.324,0.57
1100056,,,,False,False,,12.992814899576462,10.106142641423002,9.794509389966382,7.93241958269789,6.439127375087967,0.16379396971636195,0.05797841114031701,0.49311134499336257,0.2851162741499585,0.0,0.1,0.15,0.73,0.0,0.0,0.01,6.68586094706836,10.239995502805316,10.001113231320568,0.0,10.864732529411326,0.015296952082297602,0.6981919332406119,0.282336578581363,0.1688742244604771,0.6274884359755616,0.42141863699582754,0.06397774687065369,0.007301517136858058,0.21835883171070933,0.23226703755215578,0.2517629148774218,0.92,0.602,0.688,0.799,0.144,0.365,0.33,0.5
1100064,,,,False,False,,12.70192066284257,9.785998223743661,9.82379478362688,7.279491234346174,12.742452992927376,0.25374236466922745,0.09459713306689295,0.296937446965624,0.3547230552982556,0.0,0.02,0.71,0.26,0.01,0.0,0.01,3.9318256327243257,8.086717920303906,7.783640596221253,0.0,8.743372131273969,0.00797702616464582,0.8410991636798089,0.16188769414575865,0.5149217431113909,0.4675813327992217,0.14814814814814814,0.03464755077658303,0.0020529915019027725,0.2037037037037037,0.32735961768219835,0.139451440400207,0.88,0.584,0.676,0.814,0.114,0.394,0.333,0.49
1100072,,,,False,False,,12.715312011854792,10.556723781783232,9.06647000155648,8.026934608590212,2.8284999379356752,0.7036638865824792,0.03181812548796054,0.0860917303855353,0.17842625754402489,0.0,0.12,0.48,0.36,,0.0,0.03,2.1972245773362196,10.571342565808699,10.31231367277647,0.0,11.178612894590135,0.00011175993964963258,0.7844190732034922,0.19811954331766285,0.2014054180734274,0.213628673751126,0.20550705171255876,0.010745466756212223,0.0006554711702540591,0.20953660174613833,0.2008059100067159,0.2639040420208144,0.87,0.473,0.63,0.774,0.201,0.427,0.381,0.48
1100080,,,,False,False,,12.268483905651571,9.412055975876772,9.76428295481558,8.511541249239949,3.500428500730262,0.3055755430660625,0.028290970615118337,0.18890142159817974,0.47723206472063945,0.0,0.0,0.35,0.64,0.0,0.0,0.0,2.4849066497880004,0.0,2.639057329615259,0.0,6.748759547491679,0.012910798122065728,0.6893333333333334,0.31,0.27805810779509216,0.6658915327214014,0.17933333333333334,0.025333333333333333,0.0003406350345403925,0.262,0.36666666666666664,0.5255269754286014,0.81,0.493,0.616,0.751,0.536,0.518,0.426,0.52
1100098,,,,False,False,,13.246988728715506,9.749636827717868,10.405201793433656,8.416090266011052,7.310433358417069,0.23863275161513922,0.09003802805574385,0.31357061614641374,0.357756689376271,0.0,0.0,0.42,0.57,0.0,0.0,0.0,4.61512051684126,6.985641817639208,7.734121303328305,0.0,8.628555659269699,0.01789549033643522,0.7335,0.2645,0.274680488899491,0.6615911470862933,0.167,0.0495,0.004904358936000744,0.205,0.1205,0.4699880483378337,0.96,0.536,0.691,0.819,0.24,0.449,0.402,0.52
1100106,,,,False,False,,13.56087117958666,9.701248961901815,10.767473952780994,10.119900504095535,1.9109349893078493,0.0700551821845478,0.037484597205769424,0.48255242902809115,0.4099107679669502,0.0,0.0,0.05,0.94,0.0,0.0,0.0,2.1972245773362196,0.0,3.828641396489095,0.0,6.6320017773956295,0.010554089709762533,0.8305647840531561,0.1744186046511628,0.3325152155716657,0.6515385815824195,0.1511627906976744,0.0664451827242525,0.002865776668038078,0.0681063122923588,0.43521594684385384,0.778916126018372,0.75,0.519,0.663,0.823,0.368,0.467,0.323,0.54
