ibge_code,year,municipality,uf,bioma,is_treated_ever,treatment_year,is_post_treatment,emissions_burning_tco2e,emissions_soils_managed_tco2e,emissions_luc_tco2e,emissions_carbon_soil_tco2e,emissions_sugarcane_residues_tco2e,emissions_sugarcane_organic_tco2e,emissions_n_fertilizer_tco2e,emissions_liming_tco2e,emissions_other_residues_tco2e,emissions_sugarcane_direct_tco2e,area_algodão herbáceo (em caroço)_ha,area_sugarcane_ha,area_milho (em grão)_ha,area_soja (em grão)_ha
5200134,2015,Acreúna,GO,Cerrado,False,,False,1283.3354677439993,121527.61071247717,107599.1271387105,1530.0687987842966,11658.798042552717,12078.786320701302,62518.65955120866,16094.364855906506,19076.433668741676,23737.58436325402,,26700.0,11000.0,50000.0
5200134,2016,Acreúna,GO,Cerrado,False,,False,603.8981186204735,136409.37815433345,59927.36982745359,1838.988619492609,11326.125323912518,10879.79678039781,71059.40224677674,21910.45045530255,21133.03507457757,22205.922104310328,,25360.0,9500.0,48000.0
5200134,2017,Acreúna,GO,Cerrado,False,,False,541.1163719808,138893.14401156534,79718.82092938643,2014.405527764624,9973.80299285051,9992.916988443,60751.66209497933,26273.962588613853,31799.570037616464,19966.719981293507,,27000.0,30100.0,47000.0
5200134,2018,Acreúna,GO,Cerrado,False,,False,631.4614922879999,157360.44403522412,56696.56086467132,2639.531932435932,12336.478185178978,11599.26568192551,71281.44339723272,33682.28834170854,28359.078084420264,23935.743867104487,,30000.0,14150.0,44000.0
5200134,2019,Acreúna,GO,Cerrado,False,,False,526.8011240448014,154749.00624549665,68229.20075524806,2446.493993579871,11129.090549134,11523.52956906168,65690.11260421548,38421.46775222959,27882.25439040189,22652.62011819568,,36000.0,16000.0,46000.0
5200134,2020,Acreúna,GO,Cerrado,False,,False,287.01396909152544,199879.4248728892,71184.25917508129,2402.0334237933694,15037.928521403492,14959.622268752071,100979.76720048233,38661.77329757911,30137.121171664832,29997.55079015556,,36000.0,17000.0,48000.0
5200134,2021,Acreúna,GO,Cerrado,False,,False,351.2405139408,221602.2231435566,59697.64199608379,2345.4538209668344,12561.49409691068,12400.86259430104,115964.72742523624,44267.51831123856,36304.40830286265,24962.356691211717,,33000.0,30200.0,51000.0
5200134,2022,Acreúna,GO,Cerrado,False,,False,139.0676233614624,195752.47502147552,44594.91171355457,1836.8603004895183,9191.403071962664,8959.908597575006,79012.35333689324,62185.40330698347,36300.19429505373,18151.31166953767,,33000.0,30200.0,51000.0
5200134,2023,Acreúna,GO,Cerrado,False,,False,320.03526166919994,222645.42891464417,52471.10616754307,2627.956092286739,12000.157145123225,11277.28546418703,95377.76419219332,63742.39372601864,40144.61597411455,23277.442609310256,,31500.0,30600.0,52300.0
5200134,2024,Acreúna,GO,Cerrado,False,,False,344.46065346,204036.62617064925,69870.83937726374,3177.7518003860982,12916.020410602292,12373.292658018505,84271.60666403525,57797.09105132499,36575.40297366084,25289.313068620795,,33000.0,30280.0,53500.0
5200852,2015,Americano do Brasil,GO,Cerrado,False,,False,157.5280634150784,12408.060552026103,8747.221324113478,115.0666156522756,1431.1050567467053,1482.658171093403,7627.871851560828,719.3122614789222,1138.5224607310035,2913.7632278401084,,3820.0,720.0,150.0
5200852,2016,Americano do Brasil,GO,Cerrado,False,,False,122.31405791903764,21459.1058141815,3817.23605157912,65.99597520940453,2294.003419040206,2203.6036419269967,14419.963160828844,1257.44552327379,1275.4993186964216,4497.607060967202,,5180.0,750.0,870.0
5200852,2017,Americano do Brasil,GO,Cerrado,False,,False,0.0,1536.632235338291,5297.3068926315445,91.93199722356474,0.0,0.0,227.50835563470935,262.59486856014314,1037.881793688552,0.0,,,776.0,120.0
5200852,2018,Americano do Brasil,GO,Cerrado,False,,False,7.630159698479996,2715.236536984513,4677.079309669231,60.93160063616235,149.06577807091264,140.1577936565999,1005.736831728172,418.13005025125625,993.4423987830418,289.22357172751254,,432.0,550.0,270.0
5200852,2019,Americano do Brasil,GO,Cerrado,False,,False,7.072792869120017,2768.221495257269,3305.723081276325,56.54729200725609,149.41834533559532,154.71405439943922,985.5719418269704,464.3796056879262,1005.3773964731632,304.13239973503454,,432.0,550.0,270.0
5200852,2020,Americano do Brasil,GO,Cerrado,False,,False,3.152336889240022,3164.1752663371462,8128.697251300055,141.1426067045217,165.1648418570808,164.30478724136802,1317.0284766536613,418.0340363149549,1090.8265059647038,329.4696290984488,,432.0,552.0,272.0
5200852,2021,Americano do Brasil,GO,Cerrado,False,,False,0.0,1643.6186702748391,3594.1928394062606,104.47708585149437,0.0,0.0,191.6198519285441,350.5432350708169,1092.6389649701007,0.0,,,560.0,300.0
5200852,2022,Americano do Brasil,GO,Cerrado,False,,False,0.0,2345.224021313767,3066.6572852590166,86.33357244084988,0.0,0.0,282.66048409442857,758.1754222143541,1295.571496699607,0.0,,,1050.0,300.0
5200852,2023,Americano do Brasil,GO,Cerrado,False,,False,0.0,2671.2241092913764,3880.024432634199,149.38914743547872,0.0,0.0,220.4443274415996,1030.7074557572043,1411.2557077871952,0.0,,,900.0,750.0
5200852,2024,Americano do Brasil,GO,Cerrado,False,,False,0.0,1991.100766967421,6785.637475072114,279.3931359310842,0.0,0.0,112.27608527259235,708.420042829432,1161.5880205600197,0.0,,,650.0,650.0
5201306,2015,Anicuns,GO,Cerrado,True,2020.0,False,217.62092931744007,22122.7240146266,62066.08108878722,678.4108967259408,1977.0344765775567,2048.2537654465823,10648.683742728386,1738.2051723996642,5647.895532708008,4025.288242024139,,6600.0,1800.0,1100.0
5201306,2016,Anicuns,GO,Cerrado,True,2020.0,False,177.91334761200005,36960.954966103054,40813.84160424808,702.8758730350226,3336.769580361479,3205.277524229748,21005.73110446332,2927.990257024027,6422.535175258083,6542.047104591227,,7350.0,1700.0,4632.0
5201306,2017,Anicuns,GO,Cerrado,True,2020.0,False,188.16598120319992,37162.73996835789,44476.90887659909,700.8514669427379,3468.2565962792924,3474.903232606723,20252.339071117007,3211.5809553303384,6692.5969808294,6943.159828886015,,7650.0,1777.0,4700.0
5201306,2018,Anicuns,GO,Cerrado,True,2020.0,False,179.09668709645328,36806.98897835259,51191.17739891727,694.0324350233037,3498.9027840759245,3289.812730871918,20054.0146772753,3775.251256281407,6125.532590224173,6788.715514947842,,9600.0,2000.0,2000.0
5201306,2019,Anicuns,GO,Cerrado,True,2020.0,False,164.8692406732804,36652.325187842725,43404.96356868884,545.639497835316,3482.993153340085,3606.437957724858,19936.701202397475,3459.068568874221,6103.237558453498,7089.431111064943,,7650.0,2000.0,2000.0
5201306,2020,Anicuns,GO,Cerrado,True,2020.0,True,63.19754958454915,38062.02089207428,41919.708195454405,776.5804754017224,3311.198532909192,3293.9562944899867,22058.64401755128,3371.47255315095,5962.450941449272,6605.154827399179,,7650.0,2010.0,2005.0
5201306,2021,Anicuns,GO,Cerrado,True,2020.0,True,96.4004304195504,47608.87178399116,35880.62809302619,801.6264270662722,3447.590439008777,3403.5039928959063,30547.225228016803,3820.484743895801,6325.768827650267,6851.094431904683,,7650.0,2200.0,2100.0
5201306,2022,Anicuns,GO,Cerrado,True,2020.0,True,52.18901987112001,48714.10366514087,22625.03486273972,647.926929610218,3449.3313826132576,3362.4565987358487,27788.41408777964,7085.601222109386,6964.001821379126,6811.787981349106,,7650.0,3000.0,3800.0
5201306,2023,Anicuns,GO,Cerrado,True,2020.0,True,77.96501554010399,43919.1086638317,31528.687990580253,1130.019358868519,2923.404231844565,2747.3026937086024,22497.75966404637,7685.00502477978,8001.338496928776,5670.706925553168,,7100.0,4300.0,4500.0
5201306,2024,Anicuns,GO,Cerrado,True,2020.0,True,85.76026450991999,41486.088753024014,40244.34446793478,1172.8370123528937,3215.697687682074,3080.574923584244,20334.8029869418,7417.0152135162,7373.6993887761,6296.272611266319,,7800.0,4150.0,5500.0
5201504,2015,Aporé,GO,Cerrado,False,,False,869.9376170707199,76186.1529722696,233017.37913850023,2080.403049757413,7903.176715653823,8187.875152713691,41224.873406606,3059.5470581292216,15624.580256112962,16091.051868367515,,17700.0,200.0,4000.0
5201504,2016,Aporé,GO,Cerrado,False,,False,436.02455807064,87250.44921282509,191387.5793502836,1894.354500774157,8177.652217716669,7855.395532458445,50819.78687605276,3942.47305586308,16269.041147680233,16033.047750175114,,17700.0,1000.0,4000.0
5201504,2017,Aporé,GO,Cerrado,False,,False,443.4148048176,83983.35911344769,142017.46371494228,2207.294358471365,8172.977452474722,8188.640309974127,46711.359818672725,4520.49193459434,16202.565976054952,16361.617762448848,,17700.0,1000.0,5000.0
5201504,2018,Aporé,GO,Cerrado,False,,False,433.34044908264,87019.64715720991,131826.40722676687,1950.1731112823145,8465.908154579072,7959.996074221381,47724.74261783457,6342.422110552763,16338.03133972239,16425.904228800453,,18300.0,1200.0,5500.0
5201504,2019,Aporé,GO,Cerrado,False,,False,388.51582898304105,88138.5443917996,184481.6273339485,2487.835760185515,8207.704279986323,8498.60305718299,46470.45987775087,7360.836370279251,17411.17070767752,16706.307337169314,,17700.0,2100.0,7150.0
5201504,2020,Aporé,GO,Cerrado,False,,False,159.41817982728105,95774.70277734783,126410.61035077227,1888.256858442351,8352.622002486658,8309.127811920613,54964.50356699101,7072.068284140759,16885.387780078483,16661.74981440727,,17700.0,2000.0,7000.0
5201504,2021,Aporé,GO,Cerrado,False,,False,232.2648977616,114982.71485903815,119075.73210869488,2039.553281694996,8306.542173673188,8200.32134193506,72556.74421518328,9034.03247935619,16694.081317160115,16506.863515608246,,17700.0,3000.0,9000.0
5201504,2022,Aporé,GO,Cerrado,False,,False,126.6899442336,113327.68552952843,114094.52090400424,2077.771886262275,8373.32453427242,8162.434167832995,66210.47432288744,13838.645838790471,16551.813334014772,16535.758702105413,,17700.0,2000.0,12000.0
5201504,2023,Aporé,GO,Cerrado,False,,False,221.7074024088,104357.41749571003,127106.13298169644,3691.745749936893,8313.220409733112,7812.444333311563,61475.646383583575,11195.15147767616,15369.961559675292,16125.664743044676,,17700.0,2000.0,7000.0
5201504,2024,Aporé,GO,Cerrado,False,,False,414.04866426,182391.0233629844,118706.82630337351,2893.7771653799105,15525.31746324922,14872.947740446489,96031.33967772356,30685.443955841874,25084.981193992877,30398.265203695708,,35000.0,3000.0,35000.0
5201702,2015,Aragarças,GO,Cerrado,False,,False,23.9246497199424,4345.068336871202,94319.62029260331,1565.2302505839853,217.3497626571212,225.17941647230813,1139.8058205878392,132.771594210066,2587.4890582327102,442.52917912942934,,674.0,60.0,150.0
5201702,2016,Aragarças,GO,Cerrado,False,,False,6.641368409934719,3728.306175351797,65351.21701799352,964.434465954934,124.55904168906298,119.65054438140092,770.6820679753401,112.95498199734696,2557.986854597489,244.2095860704639,,674.0,,
5201702,2017,Aragarças,GO,Cerrado,False,,False,12.194603012592,4438.482130917707,73458.85679483457,1101.664938670228,224.7697063357926,225.20045949778185,1280.696334974687,121.73159928739064,2543.3321729705485,449.97016583357447,,674.0,,
5201702,2018,Aragarças,GO,Cerrado,False,,False,12.8502413680608,4671.953194604126,51865.16917540672,720.7037400802388,251.04733106839225,236.0450566271841,1410.387214143975,192.17427135678392,2539.268290415934,487.09238769557635,,814.0,,
5201702,2019,Aragarças,GO,Cerrado,False,,False,15.34088773312132,5272.047161633165,63690.26849228231,1305.208250669372,324.08839103290626,335.5747839923836,1819.9320705240305,220.3005659513505,2528.841146000288,659.6631750252898,,900.0,,
5201702,2020,Aragarças,GO,Cerrado,False,,False,6.394740546744042,5625.061832797253,66298.88089821958,1901.5941534936687,335.04867919579243,333.3039969753465,2185.093431422162,214.20206822157104,2513.824281037002,668.3526761711389,,900.0,,
5201702,2021,Aragarças,GO,Cerrado,False,,False,6.16748598576,5146.4182348118575,84770.5885712051,2652.747684580381,220.5691989619435,217.74864580279532,1907.1811144888036,225.4712307872932,2531.858668825643,438.3178447647388,,846.0,,
