geocode,intensity_pre_kgco2_ton,intensity_pos_kgco2_ton,delta_intensity_kgco2_ton,delta_relativo_pct,termo_escala_tco2e,termo_intensidade_tco2e,termo_interacao_tco2e
3103751,62.0802804047496,58.33099187036312,-3.74928853438648,-6.039419458066159,9830.70954440153,-2841.9607090649515,-593.717785090553
3105103,93.10186391519612,84.4552453482259,-8.646618566970218,-9.287266874534522,15248.826659739341,-6778.9489565046515,-1416.199227125161
3111408,70.62557961679313,65.67095801547141,-4.954621601321719,-7.015335843195862,39571.52504075178,-13288.29513474485,-2776.0753798830856
3111804,110.79122115267346,100.44698380275754,-10.344237349915915,-9.336694046959968,12961.5030226986,-5792.772915952913,-1210.1758811168365
3112604,417.40998146612156,355.92450393692826,-61.485477529193304,-14.730236520274415,11510.620893595184,-8116.083033853516,-1695.541682578695
3117306,77.64001570024779,71.88120271118663,-5.7588129890611555,-7.417325894542261,55796.38295162413,-19810.316682370376,-4138.59956088878
3121258,63.29873038433078,59.536367554051346,-3.762362830279436,-5.94382036959589,5541.310290544744,-1576.5805204002947,-329.3655297919117
3127107,70.77226166164188,66.13275377461773,-4.639507887024152,-6.5555456023228045,74188.69273361165,-23280.085559446696,-4863.473583919056
3133402,71.74987527495975,66.55160616088216,-5.19826911407759,-7.24498696918537,19761.974476139796,-6853.397999999894,-1431.7524756500668
3134202,81.68449155452859,74.62871874892794,-7.055772805600654,-8.637836474614723,28839.538339835442,-11924.256041465105,-2491.1121618288034
3134400,67.84538103956511,63.63183835318643,-4.2135426863786805,-6.210507807335456,30780.956171159414,-9150.55065200858,-1911.6536861823602
3135050,106.50290182387006,97.78914302717119,-8.713758796698869,-8.1817102139708,16698.371801748326,-6539.675976922501,-1366.2123912704624
3136306,93.68717172041328,85.49508446795905,-8.192087252454229,-8.74408641228015,35485.89240509612,-14852.794866458178,-3102.9170960703636
3137205,63.92900170053029,59.938444243823334,-3.9905574567069593,-6.242170768441481,9475.521685605414,-2831.240657171737,-591.4782448161945
3138625,68.0975740353353,63.75211140887587,-4.34546262645943,-6.381229710480733,28040.25874122004,-8564.941600452548,-1789.313321690404
3143005,72.52689913133919,67.11058580512947,-5.416313326209718,-7.468006203327815,6621.137359961743,-2366.8747604203845,-494.4669487727984
3147006,130.30713069784167,114.28435727981304,-16.022773418028635,-12.296160104378712,56146.68610428104,-33046.97017468406,-6903.886416685352
3150703,81.62212255691676,75.55650984552369,-6.065612711393072,-7.4313342037428605,16711.602864988858,-5944.60373780078,-1241.8950596995887
3152006,77.7100156373527,71.89536317688221,-5.814652460470484,-7.482500695413022,17143.634687317994,-6140.272998256831,-1282.772584697637
3157708,70.73212576096333,64.75120284660998,-5.980922914353343,-8.455737545009825,17732.090767164445,-7177.107497224011,-1499.3790565143447
3159803,71.86150091403978,67.03624202904295,-4.825258884996828,-6.714664769900601,52544.38549047151,-16888.406097488896,-3528.179341089454
