cohort,n,int_pre_med,int_pos_med,delta_med,delta_rel_med,delta_rel_mean,n_caiu,n_subiu,termo_escala_med,termo_int_med
2019,2,33.34761723116886,31.272918236586854,-2.074698994582004,-6.196313366825886,-6.196313366825886,2,0,30530.459711811938,-9148.151413034639
2020,142,23.577467595216106,22.23122098784315,-1.3278380286693494,-5.706073465957056,-6.7230457602610825,142,0,9338.676694306956,-2550.336893936642
2021,40,64.81012994215644,59.93046577482817,-4.022561359535462,-6.621668022347896,-7.957213560477532,40,0,9964.571681902225,-3244.0112536309234
2022,7,92.07498518763471,84.7472518301438,-7.327733357490914,-7.380509656919967,-7.268415076055694,7,0,2993.0277455074356,-966.9274102454995
2023,2,36.156169975885746,33.65580099235484,-2.500368983530903,-6.464340272743348,-6.464340272743348,2,0,4838.7997194516865,-1618.9231816369866
