treatment,snapshot,outcome,spec,ATT_mean,SE_mean,CI_lo,CI_hi,dose_slope,n_strata,n_munis,time_s
T3,2026,log1p_queima,LEAN,0.13157770599032587,0.23633176269354736,-0.33163254888902693,0.5947879608696787,0.12629617754360078,5,842,14.273128509521484
T3,2026,log1p_queima,FULL,0.20639777763846662,0.2264233586831324,-0.2373920053804729,0.6501875606574061,0.07484891073217509,5,842,19.000044584274292
T3,2026,log1p_queima,FULL2,0.4588236480150957,0.4931590122383921,-0.5077680159721528,1.425415312002344,0.22064949124465644,5,842,18.144453287124634
T3,2026,log1p_queima,RICH,-0.1509908775132337,0.19719615510924118,-0.5374953415273465,0.235513586500879,-0.21726592975917383,5,842,32.558507680892944
T3,2026,log_solos_manejados,LEAN,0.05898753226394926,0.03332475008720362,-0.006328977906969832,0.12430404243486835,0.01809596849101544,5,841,14.280444383621216
T3,2026,log_solos_manejados,FULL,0.06170326292104276,0.034488657703077165,-0.00589450617698848,0.129301032019074,0.02272955206570717,5,841,18.500467538833618
T3,2026,log_solos_manejados,FULL2,0.0455592081810251,0.03455469308026364,-0.02216799025629164,0.11328640661834184,0.01775074267845013,5,841,18.255536317825317
T3,2026,log_solos_manejados,RICH,0.04463740043216844,0.05140052982217152,-0.05610763801928773,0.14538243888362462,-0.019891667948156177,5,841,31.955474138259888
T3,2026,log1p_residuos_florestais,LEAN,0.2366188965828783,0.17888274487757366,-0.1139912833771661,0.5872290765429227,0.008389217958891325,5,842,14.23954725265503
T3,2026,log1p_residuos_florestais,FULL,0.20213142139823562,0.18876277256973395,-0.16784361283844293,0.5721064556349141,0.010003052997335374,5,842,18.762323141098022
T3,2026,log1p_residuos_florestais,FULL2,0.03917011822302792,0.23511968464061966,-0.42166446367258664,0.5000047001186425,-0.056298334397345946,5,842,22.590200901031494
T3,2026,log1p_residuos_florestais,RICH,0.3363590274856299,0.28284892735388373,-0.21802487012798216,0.890742925099242,0.006809870670772751,5,842,32.214195013046265
