outcome,event_time,ATT,SE
log_produtividade_cana,-7,0.006743674475423199,0.0728026204781361
log_produtividade_cana,-6,0.023233377532240584,0.03307392047231041
log_produtividade_cana,-5,-0.016516274315605976,0.0256620445853855
log_produtividade_cana,-4,-0.012204878442451278,0.01969355767806561
log_produtividade_cana,-3,0.0011229777597939648,0.015622121149199914
log_produtividade_cana,-2,0.0028860351988502404,0.019826271533203415
log_produtividade_cana,-1,-0.020983051673923486,0.013847924057346727
log_produtividade_cana,0,0.02113744341841947,0.016840720863671214
log_produtividade_cana,1,0.02207373664011679,0.015826994850006038
log_produtividade_cana,2,0.013346399730132916,0.018374061301045713
log_produtividade_cana,3,0.022408185487807163,0.019952210103277728
log_produtividade_cana,4,0.030296549956026278,0.022793359142911945
log_produtividade_cana,5,0.00042611871440930565,0.04165920448696488
log_emissao_solos_por_ha_agricola,-7,-0.033133361564289955,0.03267529399308899
log_emissao_solos_por_ha_agricola,-6,-0.023153198474137784,0.049900206825533415
log_emissao_solos_por_ha_agricola,-5,0.02424303801947469,0.027663045888290258
log_emissao_solos_por_ha_agricola,-4,-0.0036380790946681277,0.018839123962295593
log_emissao_solos_por_ha_agricola,-3,-0.03294079892455443,0.03731825714045796
log_emissao_solos_por_ha_agricola,-2,0.051961508182538814,0.0342244789817676
log_emissao_solos_por_ha_agricola,-1,-0.011531756631464817,0.012578779029345639
log_emissao_solos_por_ha_agricola,0,0.04910211781298528,0.022856874217724133
log_emissao_solos_por_ha_agricola,1,0.04592457418592629,0.019934914492681522
log_emissao_solos_por_ha_agricola,2,0.06789327997080319,0.02415145100235422
log_emissao_solos_por_ha_agricola,3,0.08902496880277745,0.032751205938901386
log_emissao_solos_por_ha_agricola,4,0.1339189119800724,0.05339293713423612
log_emissao_solos_por_ha_agricola,5,0.006109998215861431,0.10096971133830802
