outcome,spec,ATT,SE,z,CI_lo,CI_hi,sig_5pct
asinh_cana_direto,LEAN,0.28666141808639745,0.15887661253391086,1.8043021783663218,-0.024731020465792786,0.5980538566385877,False
asinh_cana_direto,FULL,0.45535016412869905,0.3142575584029664,1.4489712401596793,-0.16058333221060767,1.0712836604680058,False
asinh_cana_direto,FULL2,0.20995500826811378,0.09042583867308675,2.3218475089532373,0.032723621197034564,0.38718639533919297,True
asinh_cana_direto,RICH,0.5198146067549619,0.5025897477400593,1.0342722052973738,-0.4652431978146252,1.504872411324549,False
log1p_fert_n,LEAN,0.15617999019244053,0.07449086155171555,2.0966328881028176,0.010180584373718604,0.30217939601116245,True
log1p_fert_n,FULL,0.23580034868691319,0.1380238931450911,1.7084023882664954,-0.0347215108834702,0.5063222082572966,False
log1p_fert_n,FULL2,0.12375520425714107,0.04810754550429145,2.5724697229897426,0.029466147684108032,0.21804426083017409,True
log1p_fert_n,RICH,0.24138643233067206,0.20508083825992976,1.1770306498587975,-0.16056462457807422,0.6433374892394184,False
log1p_calagem,LEAN,0.05094892586532007,0.02298405714801657,2.2167072391619405,0.0059010016365972015,0.09599685009404293,True
log1p_calagem,FULL,0.04345235390657479,0.024383075528145108,1.7820702665838124,-0.004337595960909581,0.09124230377405915,False
log1p_calagem,FULL2,0.03808708505800451,0.0184038778428218,2.069514119974443,0.0020161473101990776,0.07415802280580994,True
log1p_calagem,RICH,0.01413340362454699,0.024362678657715534,0.5801251916143882,-0.03361656911149809,0.06188337636059206,False
log1p_res_outros,LEAN,-0.04136829883925064,0.02837012067397419,-1.458164359420598,-0.09697271359729526,0.014236115918793979,False
log1p_res_outros,FULL,-0.08053369531052687,0.03475210976614834,-2.317375717688768,-0.14864657883896032,-0.012420811782093436,True
log1p_res_outros,FULL2,-0.05723540983926055,0.026704993332115578,-2.143247486619999,-0.10957623497758937,-0.00489458470093173,True
log1p_res_outros,RICH,-0.08929267558694685,0.04559736090110018,-1.9582860459977278,-0.17866186074317802,7.650956928431651e-05,False
