,,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,,ATT,std_error,lower,upper,zero_not_in_cband
stratum,relative_period,,,,,
0,-7,-0.1411793577065325,0.06406332001573693,-0.2667411576674409,-0.01561755774562415,*
0,-6,0.0021653705752812964,0.09010811562075408,-0.17444329075616774,0.17877403190673033,
0,-5,-0.002337701096441481,0.03912305865754809,-0.07901748703028369,0.07434208483740073,
0,-4,-0.0197242744489316,0.028144850467275988,-0.07488716771505785,0.03543861881719465,
0,-3,0.03411658454544713,0.03914758841889672,-0.04261127883718776,0.11084444792808201,
0,-2,0.03180705658020114,0.04924211555334549,-0.06470571642691565,0.1283198295873179,
0,-1,0.05901949963071294,0.050364657277105686,-0.03969341472611734,0.15773241398754323,
0,0,-0.03380346995632233,0.0562693391822682,-0.14408934818743652,0.07648240827479184,
0,1,-0.023042059068053525,0.045301381851408036,-0.11183113594670971,0.06574701781060266,
0,2,-0.03761006112124547,0.05595783729151596,-0.14728540686536912,0.07206528462287817,
0,3,-0.056838894043633785,0.060669979474530844,-0.17574986875649856,0.062072080669230985,
0,4,-0.06464756748521563,0.08744568478242186,-0.23603796026220475,0.10674282529177348,
0,5,-0.14949095849280616,0.06987341711498606,-0.2864403395149234,-0.012541577470688875,*
1,-7,0.439304966290528,0.054611998460278914,0.33226741618462446,0.5463425163964316,*
1,-6,-0.5815196089200736,0.07010852982352617,-0.7189298023832371,-0.4441094154569101,*
1,-5,-0.21479282505094616,0.09103357151698137,-0.39321534660828095,-0.036370303493611394,*
1,-4,0.0554711513050686,0.06883142053381323,-0.07943595394593608,0.1903782565560733,
1,-3,0.023373614326232084,0.06530839121242607,-0.10462848033837516,0.15137570899083932,
1,-2,0.009410134148763752,0.07869426891551713,-0.14482779871535972,0.16364806701288725,
1,-1,-0.03147528083762544,0.06805112347938833,-0.1648530319647146,0.10190247028946373,
1,0,-0.026125931420771832,0.07993361114136059,-0.18279293041206818,0.13054106757052453,
1,1,0.1305436035780965,0.07754885561310967,-0.021449360465895267,0.28253656762208823,
1,2,0.03413151795213936,0.10313946695775877,-0.16801812266972677,0.2362811585740055,
1,3,0.03450236025235088,0.08135840358795489,-0.12495718061971503,0.19396190112441677,
1,4,0.03420770705762893,0.10053493148716657,-0.1628371378454194,0.23125255196067726,
2,-6,0.18150116170443778,0.06135847435613196,0.06124076182009465,0.3017615615887809,*
2,-5,-0.18841214911025966,0.12197655122520333,-0.42748179647006324,0.05065749824954388,
2,-4,0.026284453882839426,0.06450841983758002,-0.10014972569840658,0.15271863346408543,
2,-3,0.019245004571327284,0.08727762396087349,-0.15181599504821483,0.19030600419086938,
2,-2,-0.09984497313114299,0.06020172057221343,-0.21783817726002536,0.018148230997739392,
2,-1,0.05589112447889536,0.07367447693853629,-0.08850819690046255,0.20029044585825326,
2,0,-0.014542610384160074,0.09768315879828063,-0.205998083524897,0.17691286275657686,
2,1,0.009633524530118495,0.1051755753012418,-0.19650681511359586,0.21577386417383287,
2,2,0.009232294593169602,0.11467344332212867,-0.21552352430139776,0.23398811348773696,
2,3,0.11399144081857969,0.09418744675164101,-0.0706125626104208,0.29859544424758017,
2,4,0.08280385671115721,0.13420580456511355,-0.18023468675268656,0.34584240017500095,
3,-5,-0.00035886595757765594,0.16208429986105952,-0.3180382561446448,0.3173205242294895,
3,-4,0.03186950455721394,0.0695161060731701,-0.1043795596916656,0.16811856880609347,
3,-3,-0.07873152245813675,0.19715538719512318,-0.46514898071862754,0.30768593580235404,
3,-2,0.04665498599203102,0.06594218260635501,-0.0825893169783884,0.17589928896245044,
3,-1,0.08567186292183411,0.22862447778746042,-0.3624238795258659,0.5337676053695342,
3,0,-0.21515399696554277,0.14606174123918203,-0.5014297493135483,0.07112175538246279,
3,1,-0.05253178411801924,0.1054545736810398,-0.25921895053788274,0.15415538230184425,
3,2,-0.12865873595474445,0.14278040347306503,-0.4085031844600495,0.15118571255056065,
3,3,-0.08141979781281755,0.16672443257554867,-0.4081936810037695,0.2453540853781344,
3,4,-0.12318315577678791,0.2621534677502684,-0.6369945109895965,0.3906281994360206,
4,-5,0.12158443176222913,0.10488068348941636,-0.08397793055097161,0.3271467940754299,
4,-4,-0.08491114482065146,0.09346533692746095,-0.26809983900137646,0.09827754936007357,
4,-3,0.0065014676089987684,0.07958593842475101,-0.1494841053793356,0.16248704059733315,
4,-2,0.10769718223991925,0.07750258542222029,-0.04420509389637153,0.25959945837621,
4,-1,-0.07047895669038774,0.0848254784246156,-0.2367338393740137,0.09577592599323824,
4,0,0.020679813940011588,0.08757071964076116,-0.15095564265613462,0.1923152705361578,
4,1,0.12271043566566378,0.0832548384314053,-0.04046604919859176,0.2858869205299193,
4,2,-0.10501116427332657,0.11215447718526182,-0.32482990026135894,0.11480757171470576,
4,3,0.022891243278542223,0.07794659195433037,-0.12988126966958485,0.1756637562266693,
4,4,-0.08272379928850779,0.17021280001159922,-0.41633475701896117,0.25088715844194553,
4,5,-0.5067553015420266,0.12576096412913404,-0.753242261896163,-0.2602683411878903,*
