geocode,intensity_pre_kgco2_ton,intensity_pos_kgco2_ton,delta_intensity_kgco2_ton,delta_relativo_pct,termo_escala_tco2e,termo_intensidade_tco2e,termo_interacao_tco2e,size_pre,size_decil,intensity_pre,intensity_pos,geocode_key,cohort
3103751,62.0802804047496,58.33099187036312,-3.74928853438648,-6.039419458066159,9830.70954440153,-2841.9607090649515,-593.717785090553,758000.0,D4,62.0802804047496,58.33099187036312,3103751,2020.0
3105103,93.10186391519612,84.4552453482259,-8.646618566970218,-9.287266874534522,15248.826659739341,-6778.9489565046515,-1416.199227125161,784000.0,D4,93.10186391519612,84.4552453482259,3105103,2020.0
3111408,70.62557961679313,65.67095801547141,-4.954621601321719,-7.015335843195862,39571.52504075178,-13288.29513474485,-2776.0753798830856,2682000.0,D9,70.62557961679313,65.67095801547141,3111408,2020.0
3111804,110.79122115267346,100.44698380275754,-10.344237349915915,-9.336694046959968,12961.5030226986,-5792.772915952913,-1210.1758811168365,560000.0,D2,110.79122115267346,100.44698380275754,3111804,2022.0
3112604,417.40998146612156,355.92450393692826,-61.485477529193304,-14.730236520274415,11510.620893595184,-8116.083033853516,-1695.541682578695,132000.0,D1,417.40998146612156,355.92450393692826,3112604,2021.0
3117306,77.64001570024779,71.88120271118663,-5.7588129890611555,-7.417325894542261,55796.38295162413,-19810.316682370376,-4138.59956088878,3440000.0,D9,77.64001570024779,71.88120271118663,3117306,2021.0
3121258,63.29873038433078,59.536367554051346,-3.762362830279436,-5.94382036959589,5541.310290544744,-1576.5805204002947,-329.3655297919117,419040.0,D2,63.29873038433078,59.536367554051346,3121258,2021.0
3127107,70.77226166164188,66.13275377461773,-4.639507887024152,-6.5555456023228045,74188.69273361165,-23280.085559446696,-4863.473583919056,5017792.0,D10,70.77226166164188,66.13275377461773,3127107,2020.0
3133402,71.74987527495975,66.55160616088216,-5.19826911407759,-7.24498696918537,19761.974476139796,-6853.397999999894,-1431.7524756500668,1318400.0,D6,71.74987527495975,66.55160616088216,3133402,2020.0
3134202,81.68449155452859,74.62871874892794,-7.055772805600654,-8.637836474614723,28839.538339835442,-11924.256041465105,-2491.1121618288034,1690000.0,D7,81.68449155452859,74.62871874892794,3134202,2020.0
3134400,67.84538103956511,63.63183835318643,-4.2135426863786805,-6.210507807335456,30780.956171159414,-9150.55065200858,-1911.6536861823602,2171700.0,D8,67.84538103956511,63.63183835318643,3134400,2020.0
3135050,106.50290182387006,97.78914302717119,-8.713758796698869,-8.1817102139708,16698.371801748326,-6539.675976922501,-1366.2123912704624,750500.0,D4,106.50290182387006,97.78914302717119,3135050,2021.0
3136306,93.68717172041328,85.49508446795905,-8.192087252454229,-8.74408641228015,35485.89240509612,-14852.794866458178,-3102.9170960703636,1813066.0,D7,93.68717172041328,85.49508446795905,3136306,2020.0
3137205,63.92900170053029,59.938444243823334,-3.9905574567069593,-6.242170768441481,9475.521685605414,-2831.240657171737,-591.4782448161945,709485.0,D3,63.92900170053029,59.938444243823334,3137205,2020.0
3138625,68.0975740353353,63.75211140887587,-4.34546262645943,-6.381229710480733,28040.25874122004,-8564.941600452548,-1789.313321690404,1971008.0,D8,68.0975740353353,63.75211140887587,3138625,2020.0
3143005,72.52689913133919,67.11058580512947,-5.416313326209718,-7.468006203327815,6621.137359961743,-2366.8747604203845,-494.4669487727984,436990.0,D2,72.52689913133919,67.11058580512947,3143005,2020.0
3147006,130.30713069784167,114.28435727981304,-16.022773418028635,-12.296160104378712,56146.68610428104,-33046.97017468406,-6903.886416685352,2062500.0,D8,130.30713069784167,114.28435727981304,3147006,2020.0
3150703,81.62212255691676,75.55650984552369,-6.065612711393072,-7.4313342037428605,16711.602864988858,-5944.60373780078,-1241.8950596995887,980050.0,D4,81.62212255691676,75.55650984552369,3150703,2020.0
3152006,77.7100156373527,71.89536317688221,-5.814652460470484,-7.482500695413022,17143.634687317994,-6140.272998256831,-1282.772584697637,1056000.0,D5,77.7100156373527,71.89536317688221,3152006,2020.0
3157708,70.73212576096333,64.75120284660998,-5.980922914353343,-8.455737545009825,17732.090767164445,-7177.107497224011,-1499.3790565143447,1200000.0,D5,70.73212576096333,64.75120284660998,3157708,2020.0
3159803,71.86150091403978,67.03624202904295,-4.825258884996828,-6.714664769900601,52544.38549047151,-16888.406097488896,-3528.179341089454,3500000.0,D10,71.86150091403978,67.03624202904295,3159803,2021.0
3166709,132.33426947251317,122.56732593467984,-9.766943537833328,-7.380509656919967,2736.966666043772,-966.9274102454995,-202.00208909404108,99000.0,D1,132.33426947251317,122.56732593467984,3166709,2022.0
3169604,65.16354426380657,59.12339711670541,-6.040147147101159,-9.269212126719763,28230.86160884983,-12525.785347036763,-2616.778447724982,2073755.0,D8,65.16354426380657,59.12339711670541,3169604,2021.0
3170107,85.74943370257496,78.37596632957694,-7.373467372998022,-8.598852557526108,121242.14182209712,-49903.62718045061,-10425.43301286883,6768000.0,D10,85.74943370257496,78.37596632957694,3170107,2020.0
3170503,76.44885774183507,71.18804434772102,-5.260813394114052,-6.881480704237101,2475.5100180285094,-815.4260760876782,-170.35174422208829,155000.0,D1,76.44885774183507,71.18804434772102,3170503,2022.0
3500105,21.889855327170046,20.764526132308315,-1.125329194861731,-5.140870864801714,4682.791670007954,-1152.3370955384125,-240.73627262280053,1024000.0,D5,21.889855327170046,20.764526132308315,3500105,2020.0
3501707,18.94360961769378,18.176476077345065,-0.7671335403487163,-4.049563709506531,2881.085215920341,-558.4732173738655,-116.67138134386802,728000.0,D4,18.94360961769378,18.176476077345065,3501707,2020.0
3502101,20.943799594411836,19.908454967678303,-1.035344626733533,-4.943442196657481,10719.72260345966,-2536.5943354971555,-529.9232905440547,2450000.0,D8,20.943799594411836,19.908454967678303,3502101,2020.0
3502804,25.005233059630076,23.413392375050954,-1.5918406845791218,-6.3660301856937425,9914.917480680051,-3021.313619331173,-631.1866397067175,1898000.0,D7,25.005233059630076,23.413392375050954,3502804,2020.0
3503208,16.26275372368535,15.53744073983102,-0.7253129838543302,-4.459964137549301,15220.681158950407,-3249.4021676673997,-678.8369211799115,4480000.0,D10,16.26275372368535,15.53744073983102,3503208,2020.0
3503307,18.916301996503496,18.03756660797539,-0.8787353885281064,-4.645386760533494,10116.684200584123,-2249.5625946319524,-469.95910845891865,2560000.0,D9,18.916301996503496,18.03756660797539,3503307,2020.0
3503703,20.41403205845373,19.577991369910954,-0.8360406885427771,-4.095421649916344,3117.5121779666692,-611.1457433247701,-127.67526867522552,731000.0,D4,20.41403205845373,19.577991369910954,3503703,2020.0
3504404,17.327364741623157,16.530913611557224,-0.7964511300659325,-4.59649313061857,4568.3535991164845,-1005.134865812418,-209.9840593657554,1262017.0,D5,17.327364741623157,16.530913611557224,3504404,2020.0
3504503,33.77259833099154,30.539710946311235,-3.232887384680307,-9.572516017263725,4938.834850781063,-2263.021169276215,-472.7707571572203,700000.0,D3,33.77259833099154,30.539710946311235,3504503,2020.0
3505203,22.705686960597117,21.49379768483409,-1.2118892757630277,-5.3373821187005275,8012.678324709146,-2047.1233646189064,-427.66726013201895,1689200.0,D7,22.705686960597117,21.49379768483409,3505203,2020.0
3505302,19.831983837420445,19.108271684052102,-0.7237121533683428,-3.6492171398546094,3511.092192274383,-613.3098643720022,-128.12737807657373,847450.0,D4,19.831983837420445,19.108271684052102,3505302,2020.0
3505609,19.486715633822477,18.642321964741534,-0.8443936690809437,-4.3331759181385925,3633.3636052919396,-753.6213496547422,-157.44003676292243,892500.0,D4,19.486715633822477,18.642321964741534,3505609,2020.0
3505906,20.709841448184534,19.80973481422484,-0.9001066339596946,-4.346274867491077,16622.491661269658,-3458.2096876731466,-722.4591774245631,3842000.0,D10,20.709841448184534,19.80973481422484,3505906,2020.0
3506201,22.584488033321197,21.52836263026237,-1.0561254030588252,-4.6763309467126986,4868.192722290863,-1089.7101908760958,-227.652802818103,1031800.0,D5,22.584488033321197,21.52836263026237,3506201,2020.0
3506805,20.836158246829495,19.963117506203314,-0.8730407406261804,-4.190027404687356,5954.780174333268,-1194.3197331766148,-249.50692119345348,1368000.0,D6,20.836158246829495,19.963117506203314,3506805,2020.0
3507902,22.54725295682012,21.456356355783008,-1.0908966010371124,-4.838268338614335,10099.047327272863,-2338.8823126235693,-488.6190093371202,2144000.0,D8,22.54725295682012,21.456356355783008,3507902,2021.0
3508207,21.59317505227035,20.517223521485132,-1.0759515307852183,-4.982831511256102,4053.457058318131,-966.8070075023659,-201.9769355971105,898560.0,D4,21.59317505227035,20.517223521485132,3508207,2020.0
3508801,23.16427786787838,21.911072005339925,-1.2532058625384543,-5.41007956166965,9910.884247039417,-2566.575632125655,-536.1867230298164,2048008.0,D8,23.16427786787838,21.911072005339925,3508801,2021.0
3510401,20.10323934512368,19.3291705546556,-0.7740687904680783,-3.8504679627954563,7213.461906577377,-1329.5212027882096,-277.7520397212162,1717575.0,D7,20.10323934512368,19.3291705546556,3510401,2020.0
3511003,22.10835099223021,20.912411231105516,-1.195939761124695,-5.4094480476856805,9006.435671480056,-2332.0825341931554,-487.19845859694465,1950000.0,D8,22.10835099223021,20.912411231105516,3511003,2020.0
3511102,19.398402752263337,18.61393778842383,-0.7844649638395076,-4.043966783543449,5312.705539540769,-1028.3982666702216,-214.84404732650148,1310955.0,D6,19.398402752263337,18.61393778842383,3511102,2020.0
3511409,30.156126832545972,28.12151556061189,-2.0346112719340823,-6.746925038590268,6199.157191883434,-2002.057491583137,-418.2524887607528,984000.0,D5,30.156126832545972,28.12151556061189,3511409,2021.0
3511508,18.345875634324106,17.366404301027757,-0.979471333296349,-5.338918418610737,1828.8692891467772,-467.3841308223517,-97.64183933057252,477180.0,D2,18.345875634324106,17.366404301027757,3511508,2020.0
