outcome,w_treated_vs_never,w_early_vs_late,w_late_vs_early_forbidden
asinh_luc,0.1773178892017084,0.7726821107982915,0.05
asinh_carbono_solo,0.1773178892017084,0.7726821107982915,0.05
log1p_queima,0.1773178892017084,0.7726821107982915,0.05
log_solos_manejados,0.17746553350082922,0.7725344664991707,0.05
log1p_residuos_florestais,0.1773178892017084,0.7726821107982915,0.05
