covariavel,SMD_pre,SMD_post,|SMD_pre|,|SMD_post|
log_area_cana,1.0739908816290464,0.1116825439133818,1.0739908816290464,0.1116825439133818
share_vadc_ind,0.9019576560442916,-0.27583240730911984,0.9019576560442916,0.27583240730911984
share_vadc_adm,-0.8656801057545452,0.1729718701970687,0.8656801057545452,0.1729718701970687
log_pib_total,0.8158028372149877,-0.16265872457095043,0.8158028372149877,0.16265872457095043
log_pib_pc,0.7302427794637099,-0.16150945702239122,0.7302427794637099,0.16150945702239122
log_pop,0.5597875357245193,-0.08538373418166491,0.5597875357245193,0.08538373418166491
share_area_af,-0.5356772722610251,0.017371188052844138,0.5356772722610251,0.017371188052844138
share_cana_baseline,0.5331954394560368,0.03210861242363127,0.5331954394560368,0.03210861242363127
share_vadc_agro,-0.5057748103019676,0.28356474638385554,0.5057748103019676,0.28356474638385554
share_area_cana_agri,0.49469754256630594,0.05860458873644223,0.49469754256630594,0.05860458873644223
idhm_renda,0.4834959043368148,-0.17306318483556754,0.4834959043368148,0.17306318483556754
trator_per_est,0.4442790086615278,-0.005796971779113527,0.4442790086615278,0.005796971779113527
log_area_soja,0.32045839788720765,-0.0712425218116537,0.32045839788720765,0.0712425218116537
pct_est_energia,0.30586156474998294,0.003758802437614665,0.30586156474998294,0.003758802437614665
mb_share_pastagem,-0.27767925085641054,0.03979207061963022,0.27767925085641054,0.03979207061963022
ivs_renda_trabalho,-0.2487574730137861,0.03452143703335744,0.2487574730137861,0.03452143703335744
gini,0.21169100639721247,-0.121330942488044,0.21169100639721247,0.121330942488044
idhm_long,0.21143629271979375,-0.09336476040169481,0.21143629271979375,0.09336476040169481
share_est_trator,0.15699496288415185,-0.0005054259780312944,0.15699496288415185,0.0005054259780312944
idhm_educ,0.14819963544099712,-0.2065770671647206,0.14819963544099712,0.2065770671647206
share_fin_cust,0.1421555920703882,0.04774283072909619,0.1421555920703882,0.04774283072909619
share_vadc_serv,0.13846037439812905,0.021789687591309715,0.13846037439812905,0.021789687591309715
share_est_af,-0.13598422664872786,-0.13854286060483786,0.13598422664872786,0.13854286060483786
mb_share_vegetacao_nativa,-0.11775029648124748,0.03985074047066137,0.11775029648124748,0.03985074047066137
share_est_irrig,0.10549573049421715,-0.1856647865374953,0.10549573049421715,0.1856647865374953
share_est_irrig_pivo,0.10089020629029004,0.11975665613922822,0.10089020629029004,0.11975665613922822
share_est_fin_total,0.0965606292002113,0.012014732586567585,0.0965606292002113,0.012014732586567585
ivs_capital_humano,-0.0833657550280396,0.13075280823173915,0.0833657550280396,0.13075280823173915
share_est_at_gov,-0.07253899886567756,-0.16313416077058066,0.07253899886567756,0.16313416077058066
ivs_infra,-0.05342937530930637,-0.07139368690213425,0.05342937530930637,0.07139368690213425
share_est_at,0.02544331414725545,-0.15033604985014443,0.02544331414725545,0.15033604985014443
mb_share_soja,0.014698709084102951,-0.04748724402681256,0.014698709084102951,0.04748724402681256
densidade_pop,0.01375292385550797,-0.05260387530053067,0.01375292385550797,0.05260387530053067
share_est_at_coop,0.007353020903722722,-0.017653189773391545,0.007353020903722722,0.017653189773391545
share_fin_invest,-0.0030218010930019683,0.0012604488226081202,0.0030218010930019683,0.0012604488226081202
