outcome,tercil,ATT,SE,z,sig_5pct,CI_lo,CI_hi,n_munis_total,n_tratados_tercil
log_solos_manejados,T1_baixo,0.03217828648026564,0.031981078876741696,1.0061663837009378,False,-0.030503476304882766,0.09486004926541405,683,36
log_solos_manejados,T2_medio,0.07851017705749837,0.03409614509233967,2.302611537019096,True,0.011682960664860492,0.14533739345013624,709,62
log_solos_manejados,T3_alto,0.045166853910324795,0.0306234625460095,1.4749100903421657,False,-0.014854029761765093,0.10518773758241468,743,96
asinh_cana_direto,T1_baixo,0.276715323943173,0.2458210551194826,1.1256778790111126,False,-0.20508509073264836,0.7585157386189944,684,36
asinh_cana_direto,T2_medio,0.16714648662962556,0.08078078318242714,2.0691367432296226,True,0.008819060949129487,0.3254739123101216,710,62
asinh_cana_direto,T3_alto,0.0457727277714327,0.06911328622659539,0.6622855064561951,False,-0.08968682408590242,0.18123227962876784,744,96
log1p_fert_n,T1_baixo,0.17263161319517514,0.12104462446790801,1.4261815752168667,False,-0.06461149128410035,0.4098747176744506,684,36
log1p_fert_n,T2_medio,0.14014556136753806,0.05999937202206344,2.3357838031371836,True,0.02254895310927356,0.25774216962580254,710,62
log1p_fert_n,T3_alto,0.04279898232324631,0.048277861994995536,0.8865136224898037,False,-0.05182388843753998,0.1374218530840326,744,96
log1p_calagem,T1_baixo,-0.020592874841310695,0.035898409594118844,0.5736430965644891,False,-0.09095246474805077,0.04976671506542937,684,36
log1p_calagem,T2_medio,0.057033985372794006,0.02881428020968953,1.9793652646445385,True,0.0005590339213572895,0.11350893682423072,710,62
log1p_calagem,T3_alto,0.031031891887251268,0.029955785652303883,1.0359231517890308,False,-0.027680369119866034,0.08974415289436857,744,96
log1p_res_outros,T1_baixo,-0.05577682847874582,0.05693984201275777,0.979574696857231,False,-0.1673768681091517,0.05582321115166007,684,36
log1p_res_outros,T2_medio,-0.032839798614126246,0.02698905904939308,1.2167819024007336,False,-0.0857373823275615,0.020057785099309014,710,62
log1p_res_outros,T3_alto,-0.05255527110050193,0.05702995155765571,0.9215380631591453,False,-0.16433192219357107,0.059221379992567214,744,96
