outcome,att_t-2,se_t-2,sig_t-2,att_t+0,se_t+0,sig_t+0,att_t+1,se_t+1,sig_t+1,att_t+3,se_t+3,sig_t+3,att_t+5,se_t+5,sig_t+5,pretrend_flag,pretrend_wald_p,veredito
asinh_luc,-0.0027833851513340622,0.0318141907823855,False,-0.027058555409376205,0.03910112104174895,False,0.0376159301467746,0.038158756089708486,False,-0.01650387911561402,0.043775552737565046,False,-0.21469654166312235,0.12495963852351819,False,PRE_TRENDS_PLANOS,0.8209311548883814,NULO_LIMPO
asinh_carbono_solo,0.008571476653715056,0.032136392845826485,False,-0.02910912277442993,0.04050487325801501,False,0.04669141812886427,0.04051360759790887,False,0.009702668366261658,0.046705487308556684,False,-0.018158928893341725,0.26992688709993096,False,PRE_TRENDS_PLANOS,0.524669337083858,NULO_LIMPO
log1p_queima,0.014829601545468588,0.0681685524097488,False,0.017612596824346027,0.09952454489060934,False,0.12747440578155145,0.15573391138315432,False,0.1868194723152858,0.18363912023028023,False,0.07934806501798192,0.1796903935501503,False,PRE_TRENDS_VIOLADOS,0.18244757346702623,ATT_SUSPEITO_VIES
log_solos_manejados,0.04564989851991667,0.02603933706746673,False,0.023649590736995997,0.016563023253026832,False,0.04194093490848494,0.019914270310781218,True,0.06801443658600982,0.023528076460763447,True,0.04154519681554192,0.09820913656012824,False,PRE_TRENDS_PLANOS,0.33448275201744615,ATT_ROBUSTO
asinh_cana_direto,0.08565254972239464,0.0406170389175044,True,0.06869194683183319,0.03425564913134374,True,0.10658559716056841,0.03784630359972145,True,0.3368444030139645,0.17363274638035966,False,0.003431535008532674,0.2706412755433758,False,PRE_TRENDS_VIOLADOS,0.16369758170501902,ATT_SUSPEITO_VIES
log1p_fert_n,0.061571751133194,0.032925387958882765,False,0.044081506041665136,0.029546363066179755,False,0.07963058631490863,0.0340137200620503,True,0.16331013023579263,0.06372778856974659,True,0.03919577675021409,0.10145307084772705,False,PRE_TRENDS_PLANOS,0.21738672977011264,ATT_ROBUSTO
log1p_calagem,0.02821259178616831,0.019314179868805556,False,0.017855136150049144,0.018531996366685673,False,0.0024852100157289024,0.020974295480848167,False,0.0486644734488218,0.023988492932893807,True,-0.07833385582499124,0.28361836223238995,False,PRE_TRENDS_PLANOS,0.34330452454271865,ATT_ROBUSTO
log1p_res_outros,-0.012883639637300109,0.018367007779522118,False,-0.024786805506867515,0.019340249776834212,False,-0.08922354406792601,0.03974142069474277,True,-0.05643363467648223,0.03918230626733533,False,-0.20236235259248747,0.20068018720283778,False,PRE_TRENDS_PLANOS,0.3117214035854572,ATT_ROBUSTO
log1p_pam_area_cana_t,0.06453976374338838,0.03625137511768858,False,0.05414246675421826,0.03217132131613766,False,0.088984989290396,0.03541963178071273,True,0.3154311577778834,0.16802517805161843,False,-0.026266962902029914,0.2724931187856811,False,PRE_TRENDS_PLANOS,0.24649247101690774,ATT_ROBUSTO
asinh_pam_area_soja_t,0.04304001690774781,0.09894394446873037,False,0.11573205515242843,0.10380693312076915,False,-0.005162780759025841,0.15738893285631733,False,0.16316590891373606,0.16146969356462834,False,0.018549996894882674,0.258827959635429,False,PRE_TRENDS_PLANOS,0.3279565192882703,NULO_LIMPO
asinh_pam_area_milho_t,-0.02006966573523226,0.06499596739278747,False,0.18330885678756498,0.07886433888537235,True,0.1108960087816696,0.09671239366779616,False,0.08773862257795452,0.11222981410909996,False,-3.08124705394433,2.6484171288229628,False,PRE_TRENDS_PLANOS,0.6711735396770662,ATT_ROBUSTO
