geocode,treated,pscore_LEAN_std,wipw_LEAN_std,watt_LEAN_std,pscore_LEAN_lasso,wipw_LEAN_lasso,watt_LEAN_lasso,pscore_FULL_std,wipw_FULL_std,watt_FULL_std,pscore_FULL_lasso,wipw_FULL_lasso,watt_FULL_lasso,pscore_FULL2_std,wipw_FULL2_std,watt_FULL2_std,pscore_FULL2_lasso,wipw_FULL2_lasso,watt_FULL2_lasso,pscore_RICH_std,wipw_RICH_std,watt_RICH_std,pscore_RICH_lasso,wipw_RICH_lasso,watt_RICH_lasso
3100708,0,0.07397219966812954,1.0798811867652562,0.07988118676525621,0.11809899219117324,1.1339141141074351,0.13391411410743512,0.16247986378641413,1.1940011430901025,0.19400114309010263,0.1551946626091027,1.1837046426439575,0.18370464264395747,0.3411553140922713,1.517808402176367,0.5178084021763668,0.3228257358135777,1.476724755925907,0.47672475592590685,0.09691432758591059,1.1073146552384596,0.10731465523845973,0.12987093177715212,1.1492547904903356,0.14925479049033563
3101607,0,0.014867043711341928,1.0150914083387803,0.015091408338780286,0.033814670215777755,1.0349981201053111,0.03499812010531103,0.019016618629506397,1.019385260740033,0.01938526074003315,0.045999472405121866,1.0482174496497298,0.048217449649729974,0.053830045551825724,1.0568925754815586,0.05689257548155871,0.07493008614007149,1.0809993763902879,0.08099937639028783,0.004881956479414755,1.0049059069034094,0.0049059069034092595,0.03587834927342355,1.0372135085301581,0.03721350853015809
3101904,0,0.01762346412214971,1.01793962241413,0.01793962241413004,0.033601079037221294,1.0347693672958018,0.034769367295801705,0.019154048138790153,1.0195280901169488,0.019528090116948824,0.03637562090652157,1.0377487553197249,0.03774875531972492,0.026307695941153512,1.0270184901652089,0.027018490165208874,0.04580531795048279,1.0480041639428312,0.048004163942831274,0.012006987654311005,1.0121529074641975,0.012152907464197608,0.026835065620518232,1.02757504372846,0.02757504372846012
3103504,0,0.0014391144241076702,1.0014411884592072,0.0014411884592071729,0.00226649638394468,1.002271645059257,0.0022716450592570924,0.0010860190578877282,1.0010871997775659,0.001087199777565896,0.0019465027090403942,1.0019502989712714,0.0019502989712714127,0.01962100234886024,1.0200136910275206,0.020013691027520587,0.016258280024276595,1.0165269802979158,0.01652698029791581,0.0003245077812512847,1.0003246131207348,0.00032461312073485946,0.0017056466968027066,1.0017085608980547,0.00170856089805476
3103751,1,0.7176992938311673,1.393341206540523,1.0,0.7774719202677334,1.286220085807904,1.0,0.7674680552054612,1.3029858288137959,1.0,0.8117451867610553,1.2319136796980592,1.0,0.6067833251369886,1.6480347408594953,1.0,0.5859454398226025,1.7066435405705254,1.0,0.7588466335036642,1.3177893342992228,1.0,0.8308460521864525,1.2035924072436794,1.0
3104007,0,0.1980976221313778,1.2470345862521344,0.24703458625213437,0.2466320608315396,1.3273726528683485,0.32737265286834866,0.1348324143229618,1.1558454298972014,0.15584542989720135,0.18874574330924682,1.2326591715884159,0.23265917158841598,0.15245671398448685,1.1798807406064407,0.17988074060644063,0.18737834591280653,1.230584977609643,0.23058497760964297,0.14855447100914154,1.1744732527813138,0.17447325278131384,0.17000805164355887,1.2048309649029858,0.20483096490298566
3104106,0,0.011088897700710278,1.011213240173892,0.011213240173892063,0.021754993706985293,1.0222387986312593,0.02223879863125925,0.04425995964906489,1.046309621633947,0.046309621633946835,0.06412249783252078,1.0685159090628997,0.06851590906289975,0.03286704241864278,1.0339839958518608,0.03398399585186087,0.04369328688919666,1.0456896164067124,0.04568961640671249,0.020518497889414747,1.0209483260737457,0.02094832607374567,0.04237762139954586,1.0442529564330774,0.04425295643307741
3104205,0,0.05630794197158024,1.0596677077999574,0.059667707799957455,0.08522922943980711,1.0931700401704068,0.09317004017040675,0.07339153733903181,1.0792044755648693,0.07920447556486936,0.10402987405672284,1.1161086413982835,0.11610864139828346,0.07680943959756363,1.0831999837217583,0.0831999837217583,0.10252670370166539,1.1142392805719579,0.11423928057195794,0.06759332728706662,1.0724933972108939,0.07249339721089389,0.1091994805574442,1.122585784554525,0.12258578455452511
3104304,0,0.03402077289691653,1.0352189487541497,0.0352189487541496,0.0573385496769677,1.060826237942921,0.06082623794292093,0.03432620953833953,1.0355463820985855,0.035546382098585454,0.06541510356047923,1.0699937521028753,0.06999375210287534,0.039098722369578315,1.0406896351163104,0.04068963511631038,0.05296083028239381,1.055922534120934,0.055922534120933974,0.033047183099698084,1.0341766242593255,0.0341766242593256,0.0469444089881764,1.0492567374148,0.04925673741479998
3104809,0,0.005245627893945285,1.0052732896090113,0.005273289609011166,0.00706553155912858,1.0071158085288578,0.007115808528857942,0.0039763718396320325,1.0039922464961764,0.003992246496176298,0.006830202987211593,1.0068771754917993,0.006877175491799259,0.0019656689738500916,1.0019695404383826,0.0019695404383825634,0.0048548117807573525,1.0048784959604182,0.004878495960418368,0.001078920690331198,1.0010800860174829,0.0010800860174827976,0.0054115052499387585,1.0054409489738756,0.005440948973875535
