outcome,spec,estimator,ATT,SE,CI_lo,CI_hi,n_munis
log_produtividade_cana,LEAN,CS-DR,0.008514230190779144,0.013384859494904665,-0.01771961235736298,0.03474807273892126,841
log_produtividade_cana,FULL,CS-DR,0.021349496420499308,0.015454987677670798,-0.008941722809245784,0.051640715650244404,841
log_produtividade_cana,FULL2,CS-DR,0.015327222744231546,0.011848508113979797,-0.007895426429699457,0.038549871918162545,841
log_produtividade_cana,RICH,CS-DR,0.028298494439245307,0.020657736053350383,-0.012189924227456038,0.06878691310594665,841
log_emissao_solos_por_ha_agricola,LEAN,CS-DR,0.0646868521517915,0.02103887028511143,0.02345142411756316,0.10592228018601985,841
log_emissao_solos_por_ha_agricola,FULL,CS-DR,0.07431655283035953,0.02536787966095519,0.024596422330741198,0.12403668332997786,841
log_emissao_solos_por_ha_agricola,FULL2,CS-DR,0.0554416643751895,0.01854577966654203,0.019092604163551866,0.09179072458682713,841
log_emissao_solos_por_ha_agricola,RICH,CS-DR,0.05290711251008351,0.024212675870012662,0.00545113983551667,0.10036308518465034,841
log_produtividade_cana,sa_canonical,Sun-Abraham,-0.009497764915677187,0.00849068857984629,-0.026139514532175917,0.0071439847008215405,841
log_emissao_solos_por_ha_agricola,sa_canonical,Sun-Abraham,0.02507397085932328,0.014667850248305149,-0.0036750156273548107,0.05382295734600137,841
log_produtividade_cana,twfe_classic,TWFE,0.0021356389573511186,0.007669288134481087,-0.01289616578623181,0.017167443700934048,841
log_emissao_solos_por_ha_agricola,twfe_classic,TWFE,0.07016320718855537,0.01608330809129049,0.038639923329626014,0.10168649104748473,841
