Cidade,uf,corr_pearson,corr_spearman
Cedral (SP),SP,0.939671430304585,0.9030303030303031
Cedro do Abaeté (MG),MG,0.6443263380963514,0.6315584534755296
Centenário do Sul (PR),PR,0.5579019379570683,0.6121212121212121
Central de Minas (MG),MG,0.9891461880075014,0.6606060606060606
Centralina (MG),MG,0.9352286385312023,0.6121212121212121
Ceres (GO),GO,0.8444474795880538,0.8056907155587243
Cerqueira César (SP),SP,-0.35433138530245306,-0.3696969696969697
Cerquilho (SP),SP,0.9818929717943928,0.7454545454545455
Cerro Azul (PR),PR,-0.6593360040151098,-0.5449492609130661
Cesário Lange (SP),SP,0.7503677968511248,0.6242424242424243
Cezarina (GO),GO,-0.5458700488859509,-0.7680367542868648
Chalé (MG),MG,0.7337046427408435,0.583589321932862
Chapada Gaúcha (MG),MG,-0.199993748592451,-0.15151515151515152
Chapada do Norte (MG),MG,-0.4011675507461568,-0.17575757575757575
Chapada dos Guimarães (MT),MT,-0.40143557720552303,0.3575757575757576
Chapadão do Céu (GO),GO,0.8122802038904783,0.6484848484848484
Chapadão do Sul (MS),MS,0.30866612267253685,-0.23636363636363636
Charqueada (SP),SP,0.6153493232578605,0.40606060606060607
Chavantes (SP),SP,0.7467579121752538,0.696969696969697
Chiador (MG),MG,0.9085684061698552,0.7333333333333333
Chopinzinho (PR),PR,0.8092495910334021,0.7696969696969697
Chácara (MG),MG,0.9384146679366008,0.7978634243562576
Cianorte (PR),PR,0.09735067418877558,0.17575757575757575
Cidade Gaúcha (PR),PR,0.8008398180282476,0.6363636363636364
Cipotânea (MG),MG,0.23733521968916133,0.15007329587537338
Claraval (MG),MG,0.06091359261637593,-0.3751832396884334
Claro dos Poções (MG),MG,0.9806894004352354,0.9515151515151515
Clementina (SP),SP,0.9187443465828917,0.9393939393939394
Clevelândia (PR),PR,-0.42126328272844804,-0.07878787878787878
Cláudio (MG),MG,0.016142459359766718,0.3939393939393939
Cocalzinho de Goiás (GO),GO,-0.2255571698811491,-0.2767996245907637
Coimbra (MG),MG,-0.4958907598504353,-0.36893018569362623
Colina (SP),SP,0.059413818327234275,0.21212121212121213
Colinas do Sul (GO),GO,-0.05963089346082265,0.296969696969697
Colniza (MT),MT,0.9451308391881864,0.9151515151515152
Colorado (PR),PR,0.8214035980309664,0.5757575757575758
Coluna (MG),MG,0.8414684527584838,0.696969696969697
Colíder (MT),MT,-0.3920882828507692,-0.5222329678670935
Colômbia (SP),SP,0.376865615895213,0.3090909090909091
Comendador Gomes (MG),MG,0.8736078902321167,0.8545454545454545
Comercinho (MG),MG,0.12326543770590546,-0.10303030303030303
Comodoro (MT),MT,0.923049712774661,0.9636363636363636
Conceição da Aparecida (MG),MG,0.21596833742919525,0.024316221747202584
Conceição da Barra de Minas (MG),MG,-0.8859521994954034,-0.683349073208448
Conceição das Alagoas (MG),MG,0.6705298531499131,0.5272727272727272
Conceição das Pedras (MG),MG,0.8379941566725118,0.7333333333333333
Conceição de Ipanema (MG),MG,0.8822688065001247,0.7212121212121212
Conceição do Mato Dentro (MG),MG,0.8761647200084186,0.806060606060606
Conceição do Pará (MG),MG,0.9719274146452462,0.806060606060606
Conceição do Rio Verde (MG),MG,-0.7984163070125537,-0.8603138149186378
Conceição dos Ouros (MG),MG,-0.5018275468582236,-0.3090909090909091
